key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
-10,https://www.youtube.com/watch?v=UyyjU8fzEYU&list=PL70DEC2B0568B5469&index=2,TED,Jill Bolte Taylor's stroke of insight,How the brain works and various insights about artificial intelligence from the experience of a neuroscientist who suffered from a stroke,Video,ai,story,NULL,NULL,NULL
-11,http://www.gapminder.org/data/,Has Rosling,Public Data from Gapminder,"Data in health, economy, work, population, disease etc ready for visualization",Website,datavis,statistics,NULL,NULL,NULL
-12,https://www.youtube.com/watch?v=bBS2qDCFzD8,TED,The death of democracy: Daylin Leach at TEDxPhoenixville,,Video,democracy,policies,NULL,NULL,NULL
-13,https://www.youtube.com/watch?v=PJy8vTu66tE,TED,Our democracy no longer represents the people,"Larry Lessig talks about how an average American's vote carries little to no weight in effecting change. Issues with Gerrymandering, party membership cost and donations are discussed.  ",Video,democracy,policies,NULL,NULL,NULL
-14,https://www.youtube.com/watch?v=h2p1-8IWB08,TED,Storytelling using data visualization,"Lam Ghuy Vo gives this talk on constructing active storytelling using data visualization. Insight gained from this talk includes the various story telling format, including Chronological (time), logical, and spatial/location proximity.",Video,datavis,storytelling,design,NULL,NULL
-15,https://www.youtube.com/watch?v=6BTg8OXhEZk,TED,Open data driven policies,Ben Wellington talks about how public decision making should be more data-driven and how data visualization can be used to make public data more accessible to people.,Video,datavis,policies,data,NULL,NULL
-16,http://www.ybrikman.com/writing/2014/05/19/dont-learn-to-code-learn-to-think/,Yevgeniy Brikman,Don't learn to code. Learn to think.,Coding is not about memorizing syntax. It's about problem solving.,Article,coding,philosophy,learning,NULL,NULL
-17,http://www.engineergirl.org/28604.aspx,Xiaoyun Yang,My Advice to a Middle School Girl about Becoming a Software Engineer,My response to a question asked on Engineer Girl about what it takes to be a software engineer and a programmer,Discussion,coding,learning,advice,NULL,NULL
-18,http://www.engineergirl.org/28398.aspx,Xiaoyun Yang,What It Takes To Be A Female Engineer,I responded a question on Engineer Girl and provided some tips about the process and choices one needs to make starting from High School to become a female engineer,Discussion,career,college,advice,NULL,NULL
-19,http://www.engineergirl.org/28312.aspx,Xiaoyun Yang,How Important Is Writing In My Job,My response to a question asked on Engineer Girl about what it takes to be a software engineer and a programmer,Discussion,career,advice,NULL,NULL,NULL
-20,http://www.engineergirl.org/27947.aspx,Xiaoyun Yang,What Skills You Need To Become A Successful Engineer,I gave a reponse on Engineer Girl on the skills you need to be a successful engineer,Discussion,engineering,advice,NULL,NULL,NULL
-21,http://theoatmeal.com/blog/net_neutrality,The Oatmeal,How Net Neutrality Actually Works,A comic from the Oatmeal which explains how net neutrality works. This is apparently a response to a tweet by Ted Cruz. One of the most educational and entertaining Infographics I have ever seen.,Image,policies,policies,NULL,NULL,NULL
-22,http://churchm.ag/if-programming-languages-were-essays-comic/,Xiaoyun Yang,If Programming Languages Were Essays,Metaphor for programming languages. Funny Comic.,Image,coding,NULL,NULL,NULL,NULL
-23,http://www.techiesproject.com/,Helena Price,Techies: Portraits of Silicon Valley Employees,Techies is a portrait project created to share stories of tech employees in Silicon Valley.,Website,startup,tech,story,NULL,NULL
-24,https://www.youtube.com/watch?v=ZOKcedfE_nM,BNET Video,Freemium business model lecture,"Chris Anderson, the author of ""Free: The Future of a Radical Price"", discusses the freemium business model (give away 90% of your stuff for free and upsell the remaining 10% to the power users).  There other kinds of economies besides the monetary economy, for example, the time economy (people pay to save time) and the reputation economy.",Video,startup,business,learning,NULL,NULL
-25,https://medium.com/@xiaoyunyang/why-is-that-91754f6b72bc#.ukq0rnw8z,Xiaoyun Yang,Entreneurship should be easy and fun,Why Entrepreneurship is hard and how a virtual community for mentorship can help.,Article,startup,looseleaf,learning,community,NULL
-26,https://medium.com/@xiaoyunyang/i-found-another-way-to-deal-with-procrastination-25db8d3a2d7f#.my0vxjj0n,Xiaoyun Yang,How I deal with Procrastination by Going on Autopilot,"I responded to a Medium article by James Altucher on ""10 Ways I Deal with My Own Procrastination""",Article,life,productivity,NULL,NULL,NULL
-27,https://medium.com/thelist/stop-equating-women-in-tech-with-engineers-e928e9fa1db5#.97l2zkru1,TheLi.st,Sexism in Silicon Valley,The problem is not with the pipeline. The reason women are scarse in tech is not because they are graduating from engineering programs fast enough.,Article,diversity,gender,tech,NULL,NULL
-28,https://thebillfold.com/why-women-earn-less-in-their-own-words-4bde9f556559#.98tusb1no,The Billfold,"Why women Earn Less, in their own words",The reasons women give for not asking for a raise.,Article,gender,equality,diversity,NULL,NULL
-29,https://medium.com/reactive-programming/what-is-reactive-programming-bc9fa7f4a7fc#.jnsw5jo6p,Xiaoyun Yang,Reactive Programming - What and why,The principles of reactive programming and why use it,Article,fp,software,NULL,NULL,NULL
-30,http://www.infoworld.com/article/2840235/application-development/9-cutting-edge-programming-languages-worth-learning-next.html,Xiaoyun Yang,Functional Programming in Industry,Why you should learn functional programming and what are the languages to learn,Article,fp,scala,NULL,NULL,NULL
-31,https://medium.com/@milankinen/containers-are-dead-long-live-observable-combinators-2cb0c1f06c96#.65vh5ub20,Xiaoyun Yang,Functional Reactive Programming with Observer Pattern,How to use Bacon.js and ReactJS to build observer combinator components,Article,fp,frontend,tutorial,NULL,NULL
-32,http://www.vinaysahni.com/best-practices-for-a-pragmatic-restful-api,Xiaoyun Yang,Best practice for RESTful API,How to design URI  for RESTful web services,Article,restful,api,webapp,software,NULL
-33,https://www.linkedin.com/pulse/20141208023559-947775-reactive-programming-using-rxjava-and-akka,Xiaoyun Yang,Reactive Programmng using RxJava and Akka,An intro of the reactive programming paradigm and a discussion about the differences between event driven concurrency and actor based concurrency.,Article,fp,reactive,NULL,NULL,NULL
-34,http://blog.arkitex.co.za/?p=134,Xiaoyun Yang,Reactive applications and an intro to event driven architecture,Why switch from event driven to message driven concurrency,Article,fp,reactive,NULL,NULL,NULL
-35,http://berb.github.io/diploma-thesis/original/055_events.html,Xiaoyun Yang,Event Driven Concurrency Theory,,Article,concurrency,theory,NULL,NULL,NULL
-36,http://berb.github.io/diploma-thesis/original/054_actors.html,Xiaoyun Yang,Actor-based Concurrency,The actor model has its theoretical roots in concurrency modeling and message passing,Article,concurrency,theory,NULL,NULL,NULL
-37,https://www.filosophy.org/projects/hearts/,Xiaoyun Yang,Heart Art by filosophy.org,,Image,datavis,art,NULL,NULL,NULL
-38,https://www.filosophy.org/projects/mondrian/,Xiaoyun Yang,Mondrian Generator by filosophy.org,,Image,datavis,art,NULL,NULL,NULL
-39,http://bl.ocks.org/mbostock/1153292,Xiaoyun Yang,Mobile Patent Suits Visualization,Directed Graph datavis created by Mike Botstock,Interactive,datavis,d3,NULL,NULL,NULL
-40,http://rcs.seerinteractive.com/money/,Xiaoyun Yang,How Do Companies Make Money,I think this is made with isotope,Interactive,startup,business,tech,NULL,NULL
-41,https://facebook.github.io/react/docs/events.html#form-events,Xiaoyun Yang,ReactJS Form Event List,,Code,frontend,webapp,learning,NULL,NULL
-42,https://www.youtube.com/watch?v=GzCvlFRISIM,TED,Consciousness is a mathematical pattern,"What is consciousness - it's not the particles, but rather, the patterns that really matter.",Video,philosophy,ai,NULL,NULL,NULL
-43,http://oli.me.uk/2015/09/09/d3-within-react-the-right-way/,Xiaoyun Yang,Integrate D3 with React,Both libraries manipulates the DOM. Takeaway is that D3 should not be able to manipulate a DOM element that React created. But do the elements D3 require React's DOM reconciliation?,Article,frontend,d3,reactjs,learning,tutorial
-44,https://medium.com/@xiaoyunyang/thanks-for-this-post-8845269f500b#.mgu4s4pk0,Xiaoyun Yang,Ingredients of a successful startup pitch,My response to an article on training for venture capitalism by building an imaginary portfolio. Entrepreneurs should do this exercise too because they can improve their chances of succeeding in fundraising and building a startup if they know what investors look for.,Article,startup,business,NULL,NULL,NULL
-45,https://jawbone.com/blog/university-students-sleep/,Quarts,An interactive chart showing the correlation between eliteness of school and how late students sleep,Students at most schools get the same amount of shut-eye on average - 7 hours and 3 minutes. But students at top-rank schools showed an intriguing patter.,Interactive,college,d3,datavis,NULL,NULL
-46,https://medium.com/@milankinen/containers-are-dead-long-live-observable-combinators-2cb0c1f06c96#.dpn08e9po,Xiaoyun Yang,ReactJS and BaconJS communication between components,Redux vs. FRP with BaconJS,Code,coding,fp,baconjs,reactjs,NULL
-47,https://medium.com/@milankinen/good-bye-flux-welcome-bacon-rx-23c71abfb1a7#.gwsy5vahe,Xiaoyun Yang,Flux vs. BaconJS,,Article,fp,frontend,reactjs,flux,baconjs
